id;avg;std;item_count;sec_count;max_unitario;min;total;max
24451516;10.046666666666669;9.904397452086064;3;2;5.99;1.69;30.140000000000004;23.96
44366226;4428;2.0088245319091462;5;2;6.99;1.39;22.14;6.99
74158913;26.209999999999994;15.185412407965744;4;4;277.88461538461536;4.39;104.83999999999997;49.98
26119721;6.107777777777778;3.9826869148513793;9;3;13.041044776119405;1.933333333333333;54.97;13.98
26120221;8.191875;7.009918168878649;16;4;156.69491525423732;1.95;131.07;23.99
74150913;9995;5.571357554492441;4;3;16.79;4.5;39.98;16.79
74161013;25.99;0.0;1;1;41.65064102564102;41.65064102564102;25.99;25.99
20554624;8.95;0.0;1;1;8.95;8.95;8.95;8.95
36864419;3.59;0.0;1;1;3.59;3.59;3.59;3.59
34093718;26.2;23.7;2;1;57.35632183908046;1.25;52.4;49.9
44352226;10.234444444444444;7.596072246908064;9;5;217.2131147540984;1.49;92.11;26.5
20546024;5.204000000000001;3.834003651537124;5;3;5.19;0.99;26.020000000000003;12.36
44360126;9.631666666666668;9.78871189460368;6;3;29.98;0.13166666666666668;57.790000000000006;29.98
44364726;0.79;0.0;1;1;0.79;0.79;0.79;0.79
20551024;6.393424657534247;4.874674058419738;73;8;153.74358974358975;0.09833333333333333;466.72;29.98
44362726;8392;6.463777223883881;5;5;80.09708737864078;1.79;41.96;16.5
36871519;4.604615384615385;1.8817897184273003;13;3;16.379310344827587;1.59;59.86;7.99
44360726;7.558750000000001;5.6850427384057545;8;5;20.009765625;2.36;60.470000000000006;20.49
36870219;5.146666666666667;5.781596280920655;18;5;102.71317829457364;0.69;92.64000000000001;26.5
44360326;17.409999999999997;12.053196671422896;4;3;339.77272727272725;3.75;69.63999999999999;29.9
32912322;6115;2.734387499971429;4;1;8.99;1.89;24.46;8.99
44359926;9.03888888888889;7.267026664545128;9;3;31.73076923076923;1.6075268817204302;81.35000000000001;26.37
20546524;6.0;0.0;1;1;6.0;6.0;6.0;6.0
34094318;12.863333333333332;14.232358280419385;3;2;168.71794871794867;1.19;38.589999999999996;32.9
74158313;6.26923076923077;6.745237022166612;13;5;96.54545454545456;0.85;81.50000000000001;26.55
32918422;5.618571428571428;3.4833129902084745;7;3;10.99;1.39;39.33;10.99
